Judul,Harga,Penulis,Genre,Stock,Berat,Cetakan,Bulan,Tahun,Lebar,Panjang,Tebal,Format,ISBN,Sinopsis,Tentang_penulis,Foto Produk1,Foto Produk2
Makkah wa al-Madinah fi al-Jahiliyah wa ‘Ahd ar-Rasul,189000.0,Dr. Ahmad Ibrahim asy-Syarif, Sejarah,50,732," I, 2021",,2021,15.0,23.0,632,, 978-623-220-119-4,"Mekkah dan Madinah, dua kota suci dan mulia umat Islam, memiliki sejarah panjang yang belum banyak terkuak, terutama pada era sebelum Islam atau zaman jahiliah. Kebanyakan buku-buku tarikh dan sirah Nabi Muhammad lebih fokus kepada sosok dan ketokohan beliau, dari sejak lahir hingga wafat serta dakwahnya yang sangat sukses berikut berbagai keajaiban atau mukjizat yang mengikutinya. Tidak banyak yang melihat dengan cermat aspek-aspek latar belakang, konteks, atau kondisi sosial, politik, ekonomi, dan budaya pada saat itu, terutama di Mekkah dan Madinah.
Didasarkan pada sumber-sumber autentik, valid, otoritatif, dan dapat dipertanggungjawabkan secara ilmiah, buku ini mengungkap secara detail dan komprehensif aspek-aspek tersebut dari era jahiliah hingga Islam. Sumber-sumber itu tak hanya dari para sejarawan dan penyair Arab, tetapi yang paling penting dan paling autenik—menurut penulis buku ini—adalah ayat-ayat al-Quran dan riwayat sahih. Banyak sekali riwayat dan informasi (khabar) yang tidak sahih dan kontradiktif, sehingga malah membuat sejarah Mekkah dan Madinah jadi kabur.  
Buku yang kaya dengan rujukan ilmiah dan narasi yang mengalir enak ini membantu kita memahami secara lebih baik sejarah Islam dan Nabi Muhammad sejak awal dan dua kota suci tersebut. Menarik disimak.         
***
“Buku yang bagus, menyajikan sejarah Mekkah dan Madinah berdasarkan al-Quran, riwayat, buku-buku klasik, syair, dan buku-buku mutakhir. Referensinya sangat banyak, dan membuat Anda mempercayai penelitian ini.” —Goodreads","Ahmad Ibrahim asy-Syarif. Doktor dan pengajar sejarah Islam di sejumlah perguruan tinggi di Timur Tengah, di antaranya Universitas ‘Ain asy-Syams, Mesir, dan Universitas al-Kuwait, Kuwait. Telah menulis banyak buku bertema sejarah Islam, di antaranya al-‘Alam al-Islȃmi fi al-‘Ashr al-‘Abbasi, ad-Daulah al-Islȃmiyah al-Ula, Dirȃsat fi al-Hadhȃrah al-Islȃmiyah, Daur al-Hijaz fi al-Hayȃh as-Siyȃsiyah al-‘Ammah, dan Daulah ar-Rasȗl fi al-Madinah.",https://tokoalvabet.com/700-large_default/mekkah-dan-madinah-hard-cover.jpg,https://tokoalvabet.com/701-large_default/mekkah-dan-madinah-hard-cover.jpg
Mencari Nouf,67500.0,Zoe Ferraris, Novel,49,580," I, Juli 2014",Juli,2014,13.0,20.0,480,, 978-623-220-119-4,"dana dari trilogy ini sungguh fenomenal. Buku laris versi San Francisco Chronicle ini memenangi Los Angeles Times Award kategori Debut Fiksi. Karya ini pun terpilih sebagai Best New Voices of the Year oleh Waterstone’s Booksellers. Majalah The Independent bahkan menetapkannya sebagai satu dari 10 Novel Terbaik Musim Semi. Dan, Barnes & Noble memasukkannya pula ke dalam daftar Penemuan Penulis Baru Terbaik.
Kisahnya bertutur ihwal Nouf, putri dari keluarga lokal terpandang, yang raib misterius. Di gurun pasir yang panas di Arab Saudi, sebuah regu pencari dikirim untuk menemukannya. Seorang pemandu wisata gurun, Nayir Syarqi, disewa guna memimpin pencarian. Untuk mengungkap misteri Nouf, Nayir bekerja sama dengan Katya Hijazi, seorang wanita merdeka tunangan saudara Nouf. Dengan segera, dimulailah cerita menegangkan yang menawarkan pengetahuan langka perihal suatu negeri di mana kaum wanita wajib berpenutup muka di ruang publik; dimana kepercayaan kuno, tabu, dan adat-istiadat seringkali berbenturan dengan dunia modern.
Inilah novel detektif yang menyingkap selubung rahasia ihwal negeri kaum pendoa yang puritan dan patriarkis. Ber-setting dunia Arab modern, dengan plot yang cepat, mondar-mandir, dan sangat memikat, Mencari Nouf adalah cerita menegangkan yang memukau.
 
“Cerita detektif yang memikat, menyeimbangkan antara plot yang cepat dengan prosa yang halus.”
—San Francisco Chronicle

“Debut luar biasa! Sebuah misteri kebudayaan yang sebagian besar masih tersembunyi. Plot thriller yang digali dengan sangat memukau.”
—Entertainment Weekly",,https://tokoalvabet.com/544-large_default/mencari-nouf.jpg,https://tokoalvabet.com/158-large_default/mencari-nouf.jpg
Limȃdzȃ Min Haulika Aghbiyȃ’,58000.0,Dr. Syarif Arafah, Pengembangan Diri,50,332," I, September 2021",September,2021,13.0,20.0,232,, 978-623-7162-88-9,"Manusia adalah makhluk sosial yang saling membutuhkan. Untuk memenuhi kebutuhan, mereka menjalin hubungan dan komunikasi melalui bahasa, baik bahasa lisan, tulisan, maupun tubuh atau isyarat. Keberhasilan hubungan tersebut amat ditentukan oleh cara dan langkah yang tepat dan efektif. 
Buku tipis tetapi padat dengan cerita inspiratif yang kadang jenaka, disertai tips, cara, dan panduan praktis nan efektif dan sederhana ini menjelaskan secara teramg mengapa orang sering tidak bisa memahami kita, atau sebaliknya. Buku ini juga memandu dan menunjukkan apa yang harus kita lakukan untuk menghindari potensi kesalahpahaman dalam berkomunikasi. Langkah-langkahnya sangat simpel, mudah, dan terbukti efektif membuat hubungan menjadi lebih akrab, hangat, dan produktif.  
Ditulis oleh pakar motivator dan psikolog papan atas di Timur Tengah, buku ini sangat penting bagi siapa saja yang ingin menciptakan hubungan yang hidup dan menyenangkan tanpa salah paham.       
       
***
“Buku ini harus dibaca semua orang. Buku ini telah mengubah hidup saya secara positif. Buku ini menunjukkan bagaimana cara praktis mengembangkan pemikiran positif dan karenanya memengaruhi hubungan Anda dengan hampir semua orang.”  
—Goodreads

 “Salah satu buku terbaik tentang pengembangan diri”
—Goodreads","SYARIF ARAFAH. Motivator dan psikolog papan atas Timur Tengah. Buku-bukunya bertema motivasi dan pengembangan diri, terutama fokus pada aspek psikologi, masuk dalam deretan buku-buku bestseller di Timur Tengah. Meraih gelar magister bidang psikologi positif terapan di University of East London (UEL), Inggris dan magister bidang manajemen sumber daya manusia di The Graduate School of Business Alexandria, Mesir. Selain menulis tema-tema psikologi positif terapan, ia juga adalah karikaturis di koran al-Ittihad dan media-media lainnya. 
Di antara bukunya yang lain adalah Kaifa Tushbihu Insȃnan?, Takhallash min ‘Aqlika, An Takȗna Nafsaka, al-Auqȃf fi Suthȗr wa Shuwar, dan Insȃn ba’da Tahdȋts.",https://tokoalvabet.com/680-large_default/mengapa-orang-di-sekitarmu-bodoh.jpg,https://tokoalvabet.com/681-large_default/mengapa-orang-di-sekitarmu-bodoh.jpg
Mengembangkan Ruang Baca,67500.0,John Wood, Sosial/Budaya,40,566," I, Mei 2014",Mei,2014,13.0,20.0,466,, 978-623-7162-88-9,"terjadi sejak John Wood meninggalkan Microsoft untuk mengubah dunia? Pada 1999, di usia 35 tahun, John Wood meninggalkan karier menterengnya di Microsoft untuk mendirikan Room to Read (Ruang Baca), organisasi nirlaba yang mempromosikan pendidikan, kesetaraan gender, dan minat baca bagi anak-anak di seluruh dunia. Ia membawa pelajaran berharga dari dunia usaha ke sektor nirlaba—dan, hasilnya sungguh spektakuler.
John Wood meyakini bahwa perubahan dunia dimulai dari anak-anak yang terdidik dan melek aksara. Melalui Room to Read, ia pun gigih membangun ribuan perpustakaan di berbagai belahan dunia, menguatkan kesetaraan gender melalui beasiswa pendidikan bagi anak perempuan, serta menerbitkan bermacam buku untuk anak-anak dalam bahasa ibu mereka. Maka, berkat Room to Read, lebih dari tujuh juta anak miskin kini dapat merasakan manfaat buku dan pendidikan.
Kisah ihwal John Wood, Room to Read, dan jutaan anak miskin yang ia kasihi adalah cerita utama buku ini. Inilah catatan mengagumkan ihwal orang-orang yang penuh kecintaan membantu orang lain yang tak berdaya. Buku ini telah menggerakkan banyak orang kaya, pejabat pemerintah, dan kaum filantropi. Kisahnya begitu menggugah dan menginspirasi.
 
“Bayangkan apa yang akan terjadi jika ratusan orang mengikuti jejaknya.”
—Bill Clinton, mantan Presiden Amerika Serikat
“Jika setiap anak memperoleh pendidikan, ratusan juta orang akan terangkat dari jurang kemiskinan.”
—Room to Read",,https://tokoalvabet.com/160-large_default/mengembangkan-ruang-baca.jpg,
Menjadi Mukmin Kualitas Unggul,70000.0,Dr. Nurul H. Maarif, Islam/Inspirasi,20,470," I, April 2018",April,2018,13.0,20.0,370,, 978-623-7162-88-9,"Allah memuji orang beriman, bukan semata karena keimanannya, melainkan kualitasnya. Kualitas yang tidak didasarkan pada tampilan luar—meskipun pada beberapa hal juga penting—tetapi pada aspek dalam, yakni hati yang bersih, jiwa yang tenang dan lapang, serta pikiran yang luas dan terbuka. Hati, jiwa, dan pikiran seperti itulah yang mengarahkan dan mengendalikan aktivitas anggota tubuh pada hal-hal positif, bermanfaat dan membawa kemaslahatan tidak hanya bagi dirinya tetapi juga bagi orang lain.


 

 
Buku ini memaparkan cara untuk menjadi mukmin kualitas unggul melalui olah hati, jiwa, dan pikiran sesuai arahan dan petunjuk al-Quran dan sunnah Rasulullah SAW serta teladan ulama dan tokoh bijak bestari, saleh, ahli ibadah dan wara’. Dengan bahasa yang sederhana, lugas, dan mudah dipahami tetapi berisi dan bergizi tinggi, buku ini mengajak kita untuk mengintrospeksi sekaligus mengevaluasi diri sendiri—sebelum orang lain. Setelah itu, kita dipandu untuk melangkah maju sesuai arahan dan petunjuk tadi hingga di ujungnya kita menjadi mukmin kualitas unggul yang mampu meraih kebahagiaan sejati dan menginspirasi orang lain.


 

 
***


 

 
“Buku ini sangat layak dibaca oleh setiap muslim agar meningkat derajatnya menjadi mukmin. Bagi kaum mukmin, buku ini menjadi pengingat dan motivator agar meningkat menjadi muttaqin. Gaya bahasanya sederhana, mempermudah pembaca untuk memahami dan melaksanakan hikmah-hikmah yang dipercikkan oleh penulisnya.”


 

 
—Dr. Lilik Ummi Kaltsum, M.A., Kepala Program Studi Ilmu al-Qur’an dan Tafsir, UIN Syarif Hidayatullah Jakarta


 

 
“Buku bagus dan layak kita baca, konsumsi, dan resapi. Buku ini bisa dijadikan pegangan bagi kaum muda dan para ustadz yang ingin menambah perspektif pemahaman Islam yang wasathi.”


 

 
—Muhammad Nur Hayid, Pengurus MUI Pusat dan Pengurus LD PBNU


 

 
“Mencerahkan. Dengan tema yang beragam, kita diajak menyelami samudra al-Quran dan Sunnah secara mendalam. Ditulis dengan gaya bahasa yang mudah dicerna menjadikan pembahasan tema-tema di dalam buku ini terasa renyah dan mengenakkan. Layak dibaca bagi siapa saja yang ingin menemukan kedalaman Islam sebagai agama rahmatan lil ‘alamin.”


 

 
—Ahmad Luthfi, Pemimpin Redaksi HU Radar Banten


 

 

 

 
“Hikmah merupakan nilai luhur yang tersimpan dalam doktrin, peristiwa atau ujaran. Nilai yang layak untuk dipetik, menjadi bahan pelajaran, direnungkan, dan pada akhirnya diamalkan. Sebab ngelmu iku, kalakone kanti laku. Itulah pentinghnya hikmah yang ditulis dengan baik oleh sahabat Nurul H. Maarif.”


 

 
—Mukti Ali Qusyairi, Ketua Lembaga Bahtsul Masail (LBM) PWNU DKI Jakarta, penulis buku Kisah-Kisah Ajaib Imam al-Ghazali dan Islam Mazhab Cinta


 

 
“Al-Quran mengajarkan umat Islam untuk menjadi umat yang moderat (ummah wasathan) bukan tanpa alasan. Ini agar umat Islam menjadi role model bagi umat lain yang disaksikan dari Timur dan Barat. Dalam konteks Islam di Indonesia, dengan mengaplikasikan ajaran ini, umat Islam di Indonesia bisa menjadi role model, di tengah memanasnya situasi di Timur dan Barat saat ini. Buku ini sangat relevan untuk diaplikasikan di Indonesia sebagai negara dengan multi agama dan kultur. Buku ini bisa menjadi garda pemikiran rigid dan radikal masyarakat demi terjalinnya relasi sosial yang harmonis sebagai bentuk rasa syukur kepada Yang Maha Ghafur dengan segala karunia bagi bangsa ini yang tak dapat terukur.”


 

 
—Dr. Hj. Nur Arfiyah Febriani, M.A., Kepala Program Studi Program Doktor Ilmu al-Quran dan Tafsir Institut PTIQ Jakarta dan Penulis Buku Ekologi Berwawasan Gender dalam Perspektif al-Quran


 

 

 

 
“Ibarat lautan tanpa tepi, hikmah yang terkandung dalam al-Quran tak akan pernah habis diteguk oleh ilmu manusia yang terbatas. Begitu pula Hadis Rasulullah Saw, kumpulan rekam jejak penuntun akhlak dan contoh terbaik teladan umat. Lewat buku ringan ini, Sahabat Nurul H. Maarif dengan bahasa yang cantik mengajak kita menyelami dalamnya samudera hikmah dua sumber suci tadi. Lebih jauh lagi, beliau mencoba membuktikan bahwa kita masih bisa membumikan hikmah Qurani di zaman penuh fitnah ini.”


 

 
—KH. Zia ul Haramein Ali Mustafa, Lc., Khadim Pesantren Luhur Ilmu Hadis Darus-Sunnah Jakarta dan Alumni Universitas Madinah


 

 
“Seperti tertera dalam Qs. al-Baqarah [2]: 151, bahwa percikan hikmah al-Quran dan Sunnah mengandung makna-makna besar dan realistis yang meliputi segala aspek kehidupan. Terasa sekali buku karya Bapak Nurul H. Maarif, dosen favorit mahasiswa, ini ditulis dengan idealisme yang tinggi, untuk menyarikan hikmah-hikmah itu. Luar biasa dan patut dikoleksi.”


 

 
—Sari Ratna Dewi, S.Sos., Santri-aktivis, Ketua Umum KOHATI HMI Komisariat Ushada UIN Sultan Maulana Hasanuddin (SMH) Banten (2015-2016) dan Menteri Pemberdayaan Perempuan DEMA UIN SMH Banten (2017)


 

 
“Buku ini hadir di saat yang tepat. Bagai oase yang menyejukkan di tengah kerasnya arus informasi ingkar hikmah (hoax). Dengan bahasa tutur yang tidak menggurui, mudah difahami dan bernas. Referensi tepat untuk motivator, juru dakwah, dosen, guru, mahasiswa hingga santri. Hingga setiap kata yang terucap adalah hikmah.”


 

 
—M. Najmi Fathoni, M.I.K., Pendiri Ponpes al-Adib Pandeglang Banten, Direktur Menara Hati International dan Penulis Buku Strategi Komunikasi Model Sang Nabi (2017)


 

 
“Menurut saya, pemaparan Islam yang disampaikan oleh Ustad Nurul H. Maarif itu sederhana, namun penuh makna. Banyak hal yang mungkin luput dalam memaknai Islam. Dan buku ini memaparkan secara ringan dan gamblang, sehingga mudah dibaca dan dimengerti oleh pembacanya.”


 

 
—Putri Dinar, Reporter DAAI TV


 

 
“Dari Surah al-Fatihah hingga an-Naas, kita tidak mendapati dalam al-Quran yang menyajikan keunggulan Nabi Muhammad SAW dari sisi kekayaan maupun ketampanannya. Al-Quran justru menghadirkan bagaimana pekerti Nabi akhir zaman itu untuk diteladani umat zaman now. Sajian tentang pekerti baik pun dihadirkan dengan mengisahkan umat old dari kalangan para nabi dan rasul, meski itu adalah orang seburuk Firaun, Qarun, maupun Haman. Tapi itu semua disajikan dengan tujuan agar kita mengambil hikmahnya. Menjadi Mukmin Kualitas Unggul yang coba dihadirkan sahabat kami, Nurul H. Maarif, merupakan ikhtiar luar biasa guna meneguhkan kembali fungsi al-Quran serta as-Sunnah sebagai pedoman hidup yang penuh hikmah. Semoga para pembaca dan penikmat ilmu bisa mencecap hikmah dari lautan hikmah yang disajikan penulis.”


 

 
—Yudin Taqyudin (Gus Taqi), Pegiat Dakwah Sosmed dan Pengasuh PP Assa'adah Ciomas, Bogor, Jawa Barat","Dr. Nurul H. Maariflahir di Batang Jawa Tengah, pada 29 Januari 1980, dari pasangan H. Syamsul Maarif Syahid dan Hj. Zuhrotun Nisa Yaqub. S1 (2002), S2 (2008) dan S3 (2014) diselesaikannya di UIN Syarif Hidayatullah Jakarta. Ia pernah nyantridi Ponpes Darussalam, Batang, Jawa Tengah (1992-1995), Ponpes Dar al-Tauhid Cirebon, Jawa Barat (1995-1998) dan Pesantren Luhur Darus-Sunnah, Ciputat, Banten (1998-2003). Kini hidupnya “diwakafkan” untuk Ponpes Qothrotul, Falah, Lebak Banten.


 

 
Pernah mengajar di Institut PTIQ Jakarta (2006-2008), UIN Sultan Maulana Hasanuddin Banten (2014-2016) dan bergiat di the WAHID Institute (2004-2008). Kini, selain menjadi pengajar di STAI La Tansa Mashiro, Lebak dan STAI Wasilatul Falah, Lebak, penulis juga bergiat di ISNU Lebak (2013-2017), Ketua Komisi Dakwah, Informasi dan Publikasi MUI Kab. Lebak (2017-2021) dan Wakil Sekretaris Forum Silaturahim Pondok Pesantren (FSPP) Kab. Lebak (2015-2020).


 

 
Suami Dede Saadah Syatibi dan ayah Nilna Dina Hanifa (11 tahun), (Alm) Nabila Hawna Salwa dan Rayya Geyl Moemtaazah (3 tahun) ini juga menjadi Pemred www.qothrotulfalah.com (2011-sekarang), Pemimpin Pustaka Qi Falah (2012-sekarang), Pemred www.mui-lebak.org(2017-sekarang) dan Pembina Halqah Santri Triple Ing Community.


 

 
Penghargaan yang pernah diterimanya, antara lain Dosen Terfavorit STAI La Tansa, Lebak dalam ajang La Tansa Award 2016, dinobatkan sebagai ""Sosok Penyemai Toleransi dari Lebak"", oleh Koran Kompas, 16 Agustus 2016 dan Penerima Apresiasi Pendidikan Madrasah Kemenag Wilayah Banten, 2017, kategori Guru Madrasah Produktif.


 

 
Di antara karyanya, Ragam Ekspresi Islam Nusantara (Penulis, dkk., the WAHID Institute, 2007), Penafsiran Politik: Kajian atas Tafsir al-Huda Karya Kolonel Bakri Syahid (2014), Kerahmatan Islam (2016), Samudera Keteladanan Muhammad (Alvabet: 2017), Islam Mengasihi, Bukan Membenci (2017) dan Seruan Tuhan untuk Orangorang Beriman (2018). Buku-buku lainnya yang insya Allah segera terbit, antara lain, Darah Al-Quran: Supaya Nilai-nilai Al-Quran Mengalir dalam Diri Kita, Mendidik dengan Kelembutan, Muhasabah Ramadhan, Pesona Tanah Haram, dan lain-lain.


 

 
Penulis bisa dihubungi melalui instagram: @nurulhmaarif",https://tokoalvabet.com/496-large_default/menjadi-mukmin-kualitas-unggul.jpg,https://tokoalvabet.com/81-large_default/menjadi-mukmin-kualitas-unggul.jpg
Menyelami Spiritualitas Islam,75000.0,Syamsuddin Ar-Razi, Motivasi Islam,50,476," I, Februari 2019",Februari,2019,13.0,20.0,376,, 978-623-7162-88-9,"modern yang didominasi materialisme dan hedonisme sering kali menyisihkan ruang spiritual, keheningan batin, dan kejernihan pikiran manusia. Nilai-nilai substansial agama, yang menjadi energi dan daya hidup jiwa manusia, justru dicampakkan dan dianggap sebagai sesuatu yang asing, usang, mengganggu bahkan membahayakan. Kebahagiaan, misalnya, tak lagi diukur dari seberapa besar kesyukuran, keikhlasan, ketakwaan pada Tuhan, dan kepedulian pada sesama, melainkan dari seberapa besar materi duniawi yang diperoleh atau ditargetkan.
Lewat buku ini, dengan gaya tutur ringkas tetapi berbobot dan penuh makna, ar-Razi, ulama besar sekaligus tokoh sufi agung abad ke-7 H, seperti tengah menyerukan dan mengingatkan kita untuk kembali menyelami spiritualitas Islam sebagai jalan menemukan jati diri. Pesan-pesan religiusnya yang lembut mampu mengisi kehampaan spiritual dalam jiwa kita, bahkan menuntun dan melatih kita untuk menghindari krisis spiritual yang potensial terjadi sekaligus melewati nya dengan baik saat krisis itu terlanjur menyergap dan melumpuhkan kita.",,https://tokoalvabet.com/161-large_default/menyelami-spiritualitas-islam.jpg,https://tokoalvabet.com/546-large_default/menyelami-spiritualitas-islam.jpg
Merumuskan Ulang Jaminan Sosial,85000.0,Vladimir Rys, Motivasi Islam,20,476," 1, Mei 2011",Mei,2011,15.0,23.0,376,, 978-623-7162-88-9,,,https://tokoalvabet.com/162-large_default/merumuskan-ulang-jaminan-sosial.jpg,
Misteri Pasukan Cambyses,95000.0,Paul Sussman, Fiksi,20,664," I, Februari 2018",Februari,2018,13.0,20.0,564,, 978-623-7162-88-9,"Pada 523 SM, Kaisar Cambyses, penguasa Persia yang menaklukkan banyak negeri, mengirim pasukan melintasi Gurun Barat, Mesir, untuk menghancurkan peramalan di Oasis Siwa. Pasukan tersebut tak pernah tiba di sana. Konon, 50.000 tentara lengkap dengan peralatan perangnya itu diterjang badai pasir dan lenyap tak ketahuan jejaknya.


 
Dua setengah milenium kemudian, serangkaian pembunuhan misterius terjadi di Mesir: seonggok mayat termutilasi di tepian Sungai Nil di Luxor; seorang pedagang barang antik dibunuh secara biadab di dalam tokonya di Kairo; dan seorang arkeolog Inggris tewas di lokasi penggalian kuno di Saqqara.


 
Kejadian tersebut tampak tak berkaitan satu sama lain. Tetapi, Inspektur Yusuf Khalifa dari kepolisian Luxor memendam curiga. Begitu juga putri sang arkeolog, ahli zoologi di Inggris. Mereka lalu melakukan penyelidikan guna mengungkap misteri di balik peristiwa tersebut. Setelah menemukan kepingan hieroglif yang aneh, mereka pun mendapati petunjuk penting.


 

 
Akankah kejadian-kejadian misterius itu terungkap? Menelusuri lorong gelap misteri padang pasir, diperkaya dengan pengetahuan arkeologis yang eksotis, dan diramu dengan plot maju-mundur yang bertarik ulur, novel thriller ini menyeret kita ke dalam petualangan misteri Mesir kuno yang mencekam, mendebarkan, dan memacu adrenalin; sebuah cerita memukau yang sinematis.


 

 
***


 

 
“Petualangan yang dahsyat. Novel bagus yang ditulis dengan penuh kemampuan.”
—Valerio Massimo Manfredi


 

 
“Serumit lorong-lorong kaca, semencekam ancaman kematian.”
—Kirkus Review


 

 
“Memacu adrenalin. ... Anda merasa seolah sedang menaiki rollercoaster, berada di dalam perpustakaan dan di saat bersamaan tenggelam ke dalam Sungai Nil.”
—Crime Time


 

 
“Sebuah thriller yang keras, terkadang brutal, namun selalu mengasyikkan. Sussman sangat mengenal Mesir, di masa lalu dan masa kini.”
—Dr. Barbara Mertz, arkeolog


 

 
“Novel ini kian menambah genre misteri Mesir kuno. … Karena Sussman pernah melakukan penggalian di Mesir, kita memercayai detail latar ceritanya.”
—Publishers Weekly","Setelah meninggalkan Cambridge University, Paul Sussman berkeliling dunia selama tiga tahun. Semasa itu dia pernah bekerja sebagai penggali kuburan, tukang bangunan, dan penjaja deterjen. Pada 1991, dia kembali ke Inggris dan turut mendirikan majalah The Big Issue. Sejak itulah Paul menekuni dunia kewartawanan. Pria yang pernah di nominasi kan Periodical Publishers Association menjadi kolomnis Inggris 1997 ini memiliki seabrek pengalaman sebagai wartawan lepas, antara lain di The Daily Telegraph, The Daily Express, The Evening Standard, dan The Sunday Herald.


 

 
Selain menulis, Paul juga memiliki kegemaran utama di bidang arkeologi. Dia pernah terlibat dalam sejumlah penggalian, dan selama tiga tahun terakhir, ia menghabiskan masa Oktober dan November di Lembah Para Raja, Mesir, sebagai petugas pencatat harian untuk The Amarna Royal Tombs Project. Kini, dia tinggal bersama istrinya di London sembari terus menulis feature untuk CNN.com biro Eropa.",https://tokoalvabet.com/494-large_default/misteri-pasukan-cambyses.jpg,https://tokoalvabet.com/75-large_default/misteri-pasukan-cambyses.jpg
Mitos-Mitos Legendaris dalam Khazanah Klasik Muslim,60000.0,Walid Fikri, Sejarah,49,340," I, Januari 2022",Januari,2022,13.0,20.0,240,, 978-623-220-125-5,"Banyak sekali kisah-kisah populer dan memukau dalam khazanah klasik muslim, seperti kitab-kitab tafsir dan hadis, yang kadung dipercayai sebagai benar tanpa koreksi dan kritik. Misalnya, kisah tentang penciptaan alam, makhluk pertama di bumi, Nabi Idris, Harut dan Marut, Menara Babel dan Raja Namrudz, Nabi Khidir, tongkat ajaib Nabi Musa, raksasa ‘Auj bin ‘Anaq, Baluqiya, perjalanan panjang dan ajaib Zulkarnain, setan-setan di sekeliling Nabi Sulaiman, dan lain-lain.    
Buku ini berupaya menjelaskan hakikat di balik kisah-kisah di atas, apakah benar seperti yang kita ketahui sekarang, atau sebaliknya. Juga menjelaskan bagaimana cerita itu muncul dan menyebar, dari mana asal-usulnya, di mana ditemukan, siapa yang menciptakannya, apa motifnya, dan kenapa begitu populer dan dipercayai begitu saja oleh masyarakat muslim dari generasi ke generasi, dan terus-menerus disampaikan dalam ceramah-ceramah keagamaan atau majelis-majelis taklim. 
Tanpa menghakimi dan merasa paling benar, penulis buku ini yang merupakan penulis buku-buku sejarah klasik Islam, mengajak kita untuk membuka pikiran dan mendorong sikap kritis kita terhadap warisan klasik yang kita baca hari ini. Dengan begitu, kita tidak akan terjebak dalam alam pikiran kuno yang sarat mitos, untuk beralih ke alam pikiran yang lebih rasional dan membuat kita bangkit dan maju.        
***
“Yang lebih penting daripada sejarah adalah bagaimana menceritakannya secara objektif dan tidak membosankan. Walid Fikri berhasil dalam hal ini.”
—Goodreads","Walid Fikri. Lahir di Alexandria, Mesir, tahun 1980. Kuliah di Collège Saint Marc, Alexandria, dan meneruskan pendidikan di Fakultas Hukum Universitas Alexandria. Dia adalah peneliti dan penulis buku-buku sejarah. Aktif menulis artikel dan makalah ilmiah bertema sejarah sejak 2009 dan menjadi kolumnis di sejumlah media cetak di Mesir. Di antara buku-bukunya yang lain: Târîkh Syakl Tâni (2010), Târîkh fi azh-Zhill (2012), Mishr al-Majhûlah (2015), Dam al-Mamâlik (2016), dan Dam al-Khulafâ’ (2017).",https://tokoalvabet.com/712-large_default/mitos-mitos-legendaris-dalam-khazanah-klasik-muslim.jpg,https://tokoalvabet.com/711-large_default/mitos-mitos-legendaris-dalam-khazanah-klasik-muslim.jpg
Momen-Moment Menentukan dalam Sejarah Islam,99000.0,Muhammad Abdullah Enan, Sejarah ,50,500," I, Juni 2022",Juni,2022,13.0,20.0,400,, 928-623-220-135-4,"Salah satu topik penting dalam sejarah Islam adalah pergulatan antara Timur dan Barat―antara Islam dan Kristen―baik di medan perang maupun pada masa damai. Pertemuan dua peradaban ini tidak hanya menimbulkan pengaruh yang paling luas terhadap nasib keduanya, namun juga terhadap peradaban dunia hingga saat ini.
Buku ini menyoroti pertemuan-pertemuan awal yang menentukan dari dua kekuatan besar tersebut. Penulisnya menguraikan berbagai peristiwa yang menandai tonggak dan “titik balik” utama yang mengarah ke tahap peradaban Islam berikutnya. Dengan paparan yang runut, penulis menyajikan momen-momen penting ini, mulai dari perkembangan Islam di Arab, pengepungan Arab atas Konstantinopel, invasi Muslim ke Roma, pendaratan Tariq bin Ziyad di Spanyol, Perang Salib, dan banyak peristiwa lainnya. 
Jarang dibahas oleh para penulis sejarah Islam, buku ini mengulas secara gamblang dan otoritatif episode-episode sejarah yang sangat penting tersebut. Didasarkan pada sumber-sumber Barat dan dikomparasi dengan karya-karya sarjana Islam, buku ini sangat rinci dan kaya cerita dalam menggambarkan bahasan ini.
***
“Buku ini luar biasa. Harus dibaca.”
―Theijtema
“Beberapa momen yang dijelaskan dalam buku ini mewakili beberapa insiden penting dalam sejarah Islam Eropa.”
―Goodreads",,https://tokoalvabet.com/747-large_default/momen-moment-menentukan-dalam-sejarah-islam.jpg,https://tokoalvabet.com/748-large_default/momen-moment-menentukan-dalam-sejarah-islam.jpg
